time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
2025-06-02 00:00:01,4.3,7.8,NE,43
2025-06-02 00:05:00,3.5,7.0,NNE,23
2025-06-02 00:10:01,4.3,7.0,NNE,23
2025-06-02 00:15:01,4.3,6.0,NNE,25
2025-06-02 00:20:00,4.3,6.0,NNE,26
2025-06-02 00:25:01,3.5,6.0,NNE,28
2025-06-02 00:30:00,3.5,6.0,NNE,26
2025-06-02 00:35:01,3.5,5.2,NNE,25
2025-06-02 00:40:01,3.5,5.2,NNE,28
2025-06-02 00:45:00,3.5,5.2,NNE,29
2025-06-02 00:50:01,3.5,6.0,NNE,24
2025-06-02 00:55:02,3.5,6.0,NNE,22
2025-06-02 01:00:02,4.3,7.0,NNE,26
2025-06-02 01:05:02,4.3,7.0,NNE,25
2025-06-02 01:10:01,4.3,7.0,NNE,22
2025-06-02 01:15:01,4.3,7.8,NNE,25
2025-06-02 01:20:01,4.3,7.8,NNE,29
2025-06-02 01:25:01,4.3,5.2,NNE,29
2025-06-02 01:30:01,4.3,6.0,NNE,30
2025-06-02 01:35:02,3.5,6.0,NNE,33
2025-06-02 01:40:00,3.5,8.7,NE,40
2025-06-02 01:45:00,6.0,10.5,ENE,59
2025-06-02 01:50:01,8.7,10.5,ENE,74
2025-06-02 01:55:01,9.5,11.3,E,80
2025-06-02 02:00:01,9.5,11.3,E,83
2025-06-02 02:05:00,9.5,12.2,E,87
2025-06-02 02:10:00,10.5,12.2,E,89
2025-06-02 02:15:01,10.5,13.0,E,90
2025-06-02 02:20:01,10.5,13.0,E,94
2025-06-02 02:25:01,9.5,13.0,E,96
2025-06-02 02:30:02,9.5,13.0,E,95
2025-06-02 02:35:02,9.5,13.0,E,93
2025-06-02 02:40:02,9.5,13.0,E,93
2025-06-02 02:45:02,8.7,10.5,E,93
2025-06-02 02:50:02,7.0,10.4,E,89
2025-06-02 02:55:02,7.0,10.4,E,83
2025-06-02 03:00:01,6.0,8.7,E,83
2025-06-02 03:05:01,6.0,7.8,E,82
2025-06-02 03:10:01,7.0,9.5,E,82
2025-06-02 03:15:00,7.0,9.5,E,87
2025-06-02 03:20:01,7.8,10.4,E,91
2025-06-02 03:25:00,7.8,10.4,E,89
2025-06-02 03:30:00,7.8,9.5,E,85
2025-06-02 03:35:00,7.8,10.5,E,87
2025-06-02 03:40:01,7.0,10.5,ENE,75
2025-06-02 03:45:01,4.3,9.5,NE,37
2025-06-02 03:50:01,4.3,7.0,NNE,15
2025-06-02 03:55:01,4.3,7.0,NNE,15
2025-06-02 04:00:01,3.5,6.0,NNE,18
2025-06-02 04:05:02,3.5,6.1,NNE,18
2025-06-02 04:10:01,3.5,6.1,NNE,18
2025-06-02 04:15:01,3.5,6.0,NNE,19
2025-06-02 04:20:01,3.5,6.0,NNE,13
2025-06-02 04:25:01,4.3,6.0,N,11
2025-06-02 04:30:02,4.3,7.0,NNE,13
2025-06-02 04:35:01,5.2,7.0,N,4
2025-06-02 04:40:01,5.2,7.8,N,5
2025-06-02 04:45:02,5.2,8.7,NNE,13
2025-06-02 04:50:00,5.2,8.7,NNE,13
2025-06-02 04:55:00,5.2,7.8,NNE,12
2025-06-02 05:00:00,5.2,7.8,NNE,14
2025-06-02 05:05:00,4.3,7.8,NNE,20
2025-06-02 05:10:00,4.3,7.8,NNE,27
2025-06-02 05:15:00,4.3,6.0,NNE,30
2025-06-02 05:20:00,4.3,7.0,NNE,31
2025-06-02 05:25:00,4.3,7.0,NNE,31
2025-06-02 05:30:00,3.5,6.0,NNE,21
2025-06-02 05:35:00,3.5,6.0,NNE,16
2025-06-02 05:40:00,3.5,6.0,NNE,18
2025-06-02 05:45:00,3.5,6.0,NNE,16
2025-06-02 05:50:00,3.5,6.0,N,11
2025-06-02 05:55:00,3.5,5.2,N,8
2025-06-02 06:00:00,3.5,4.3,NNE,16
2025-06-02 06:05:00,2.5,4.3,NNE,24
2025-06-02 06:10:00,3.5,5.2,NNE,28
2025-06-02 06:15:00,4.3,7.0,NNE,30
2025-06-02 06:20:00,4.3,7.0,NNE,26
2025-06-02 06:25:00,4.3,6.0,NNE,15
2025-06-02 06:30:00,4.3,6.0,N,4
2025-06-02 06:35:00,4.3,7.0,N,3
2025-06-02 06:40:00,5.2,7.0,N,8
2025-06-02 06:45:01,5.2,7.0,NNE,15
2025-06-02 06:50:00,5.2,7.0,NNE,18
2025-06-02 06:55:00,5.2,7.0,NNE,13
2025-06-02 07:00:00,5.2,7.0,N,10
2025-06-02 07:05:01,5.2,7.0,NNE,18
2025-06-02 07:10:01,4.3,7.0,NNE,24
2025-06-02 07:15:00,4.3,7.0,NNE,21
2025-06-02 07:20:00,4.3,7.0,NNE,22
2025-06-02 07:25:00,3.5,7.0,NNE,28
2025-06-02 07:30:00,4.3,7.0,NNE,28
2025-06-02 07:35:00,4.3,6.0,NNE,26
2025-06-02 07:40:00,4.3,7.0,NNE,26
2025-06-02 07:45:00,5.2,7.0,NE,35
2025-06-02 07:50:00,5.2,8.7,NE,44
2025-06-02 07:55:00,6.0,9.5,NE,45
2025-06-02 08:00:00,7.0,9.5,NE,47
2025-06-02 08:05:00,7.8,10.5,NE,51
2025-06-02 08:10:00,7.8,10.5,NE,53
2025-06-02 08:15:00,7.8,10.4,NE,53
2025-06-02 08:20:00,7.8,10.4,NE,52
2025-06-02 08:25:00,7.0,9.5,NE,50
2025-06-02 08:30:00,7.0,10.5,NE,54
2025-06-02 08:35:00,7.8,10.5,ENE,60
2025-06-02 08:40:00,7.8,11.3,ENE,62
2025-06-02 08:45:00,8.7,11.3,ENE,65
2025-06-02 08:50:00,8.7,11.3,ENE,65
2025-06-02 08:55:00,9.5,11.3,ENE,68
2025-06-02 09:00:00,9.5,12.2,ENE,68
2025-06-02 09:05:00,9.5,13.0,ENE,67
2025-06-02 09:10:00,9.5,13.0,ENE,68
2025-06-02 09:15:00,9.5,12.2,ENE,69
2025-06-02 09:20:00,9.5,12.2,ENE,77
2025-06-02 09:25:01,9.5,12.2,ENE,75
2025-06-02 09:30:00,9.5,11.3,ENE,66
2025-06-02 09:35:00,8.7,12.2,ENE,65
2025-06-02 09:40:01,9.5,12.2,ENE,69
2025-06-02 09:45:01,9.5,12.2,ENE,76
2025-06-02 09:50:01,9.5,12.2,ENE,76
2025-06-02 09:55:00,9.5,12.2,ENE,75
2025-06-02 10:00:00,10.5,12.2,E,80
2025-06-02 10:05:00,10.5,12.2,E,79
2025-06-02 10:10:00,9.5,12.2,ENE,70
2025-06-02 10:15:00,9.5,13.0,ENE,68
2025-06-02 10:20:00,9.5,13.0,ENE,66
2025-06-02 10:25:00,10.5,13.0,ENE,65
2025-06-02 10:30:00,10.5,13.0,ENE,68
2025-06-02 10:35:00,10.5,12.2,ENE,68
2025-06-02 10:40:00,9.5,12.2,ENE,68
2025-06-02 10:45:00,9.5,12.2,ENE,67
2025-06-02 10:50:00,9.5,12.2,ENE,64
2025-06-02 10:55:00,9.5,12.2,ENE,63
2025-06-02 11:00:01,9.5,12.2,ENE,67
2025-06-02 11:05:00,9.5,12.2,ENE,69
2025-06-02 11:10:00,8.7,11.3,ENE,66
