time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
2025-12-01 00:05:00,2.5,2.5,NNW,348
2025-12-01 00:10:00,2.5,2.5,N,350
2025-12-01 00:15:01,2.5,2.5,NNW,347
2025-12-01 00:20:00,1.8,1.8,NNW,341
2025-12-01 00:25:01,1.8,2.6,NNW,341
2025-12-01 00:30:01,1.8,2.6,NNW,346
2025-12-01 00:35:01,1.8,1.8,N,351
2025-12-01 00:40:01,0.8,1.8,N,354
2025-12-01 00:45:00,0.8,1.8,N,6
2025-12-01 00:50:02,0.8,1.8,NNE,16
2025-12-01 00:55:01,1.8,2.6,N,353
2025-12-01 01:00:01,1.8,2.6,NNW,337
2025-12-01 01:05:01,2.5,2.5,NNW,341
2025-12-01 01:10:01,2.5,2.5,NNW,338
2025-12-01 01:15:01,1.8,2.5,NW,325
2025-12-01 01:20:01,0.0,1.7,NW,315
2025-12-01 01:25:02,0.0,1.7,NW,315
2025-12-01 01:30:02,0.0,0.0,NW,315
2025-12-01 01:35:01,0.0,0.0,NW,324
2025-12-01 01:40:01,0.0,0.0,NNW,339
2025-12-01 01:45:02,0.0,0.0,NNW,345
2025-12-01 01:50:01,0.0,1.8,NNW,348
2025-12-01 01:55:01,0.8,1.8,N,353
2025-12-01 02:00:02,0.8,1.8,N,354
2025-12-01 02:05:00,0.8,1.8,N,354
2025-12-01 02:10:01,0.8,1.8,N,355
2025-12-01 02:15:02,0.8,1.8,N,355
2025-12-01 02:20:02,0.8,1.7,N,355
2025-12-01 02:25:02,0.8,1.8,N,355
2025-12-01 02:30:02,0.0,1.8,N,355
2025-12-01 02:35:00,0.0,1.8,N,354
2025-12-01 02:40:00,0.8,1.8,NNW,346
2025-12-01 02:45:01,1.8,2.5,NNW,345
2025-12-01 02:50:01,2.5,2.5,NNW,346
2025-12-01 02:55:01,1.8,2.5,NNW,343
2025-12-01 03:00:00,0.8,1.8,NNW,334
2025-12-01 03:05:01,0.8,1.8,NW,319
2025-12-01 03:10:01,0.8,1.8,NW,319
2025-12-01 03:15:01,0.8,1.8,NNW,330
2025-12-01 03:20:01,1.8,1.8,NNW,340
2025-12-01 03:25:02,1.8,2.6,NNW,348
2025-12-01 03:30:01,2.5,2.6,N,355
2025-12-01 03:35:02,2.5,3.5,N,1
2025-12-01 03:40:01,1.8,3.5,N,1
2025-12-01 03:45:01,0.8,3.5,N,357
2025-12-01 03:50:02,0.8,3.5,N,355
2025-12-01 03:55:02,0.8,1.8,N,355
2025-12-01 04:00:01,0.8,0.8,N,355
2025-12-01 04:05:01,0.0,0.0,N,355
2025-12-01 04:10:00,0.0,1.8,NNW,346
2025-12-01 04:15:01,0.8,1.8,NNW,330
2025-12-01 04:20:01,0.8,1.8,NW,309
2025-12-01 04:25:01,0.8,1.7,WNW,301
2025-12-01 04:30:01,0.8,2.6,NW,316
2025-12-01 04:35:00,1.8,2.6,NNW,328
2025-12-01 04:40:01,2.5,2.5,NW,324
2025-12-01 04:45:01,1.8,2.5,NW,314
2025-12-01 04:50:01,1.8,3.5,NW,322
2025-12-01 04:55:01,2.5,3.5,NNW,338
2025-12-01 05:00:02,2.5,2.5,NNW,336
2025-12-01 05:05:01,1.8,2.5,NW,320
2025-12-01 05:10:01,2.5,3.5,NW,314
2025-12-01 05:15:01,2.5,4.3,NW,321
2025-12-01 05:20:01,2.5,4.3,NNW,327
2025-12-01 05:25:01,2.5,3.5,NNW,327
2025-12-01 05:30:02,1.8,3.5,NNW,329
2025-12-01 05:35:00,1.8,3.5,NNW,329
2025-12-01 05:40:00,1.8,2.5,NW,320
2025-12-01 05:45:01,1.8,2.5,NW,316
2025-12-01 05:50:01,1.8,2.5,NW,319
2025-12-01 05:55:01,1.8,2.5,NW,320
2025-12-01 06:00:00,1.8,2.5,NW,318
2025-12-01 06:05:02,2.5,4.3,NW,324
2025-12-01 06:10:00,3.5,4.3,NNW,333
2025-12-01 06:15:01,3.5,4.3,NNW,333
2025-12-01 06:20:01,3.5,4.3,NNW,330
2025-12-01 06:25:02,3.5,4.3,NNW,333
2025-12-01 06:30:02,3.5,4.3,NNW,331
2025-12-01 06:35:01,2.5,3.5,NW,324
2025-12-01 06:40:01,1.8,3.5,NW,319
2025-12-01 06:45:02,1.8,2.5,NW,316
2025-12-01 06:50:00,1.8,2.6,NW,322
2025-12-01 06:55:00,1.8,2.6,NNW,329
2025-12-01 07:00:00,0.8,1.8,NNW,328
2025-12-01 07:05:00,1.8,2.6,NNW,332
2025-12-01 07:10:00,1.8,2.6,NNW,343
2025-12-01 07:15:00,1.8,3.5,N,355
2025-12-01 07:20:00,2.5,3.5,N,0
2025-12-01 07:25:00,2.5,3.5,N,353
2025-12-01 07:30:00,3.5,4.3,NNW,345
2025-12-01 07:35:00,3.5,4.3,NNW,343
2025-12-01 07:40:00,3.5,4.3,NNW,341
2025-12-01 07:45:00,3.5,4.3,NNW,338
2025-12-01 07:50:00,3.5,4.3,NNW,337
2025-12-01 07:55:01,2.5,4.3,NNW,333
2025-12-01 08:00:00,1.8,3.5,NNW,328
2025-12-01 08:05:00,1.8,4.3,NNW,328
2025-12-01 08:10:00,3.5,5.2,NNW,332
2025-12-01 08:15:00,4.3,7.0,NNW,333
2025-12-01 08:20:00,4.3,7.0,NNW,334
2025-12-01 08:25:01,4.3,7.8,NNW,343
2025-12-01 08:30:00,6.0,9.5,N,356
2025-12-01 08:35:00,7.0,9.5,N,0
2025-12-01 08:40:00,6.0,8.7,N,355
2025-12-01 08:45:01,5.2,7.8,N,353
2025-12-01 08:50:00,6.0,7.8,N,358
2025-12-01 08:55:00,6.0,7.8,N,2
2025-12-01 09:00:00,6.0,8.7,N,0
2025-12-01 09:05:00,5.2,8.7,N,357
2025-12-01 09:10:00,4.3,7.8,N,354
