time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
2026-06-02 00:05:01,2.5,4.3,N,351
2026-06-02 00:10:00,2.5,4.3,NNW,332
2026-06-02 00:15:01,1.8,2.5,NW,325
2026-06-02 00:20:00,1.8,2.5,NNW,327
2026-06-02 00:25:00,1.8,1.8,NNW,333
2026-06-02 00:30:00,1.8,2.5,NNW,338
2026-06-02 00:35:01,1.8,4.3,N,350
2026-06-02 00:40:00,2.5,5.2,NNE,12
2026-06-02 00:45:01,3.5,7.0,NNE,21
2026-06-02 00:50:00,4.3,7.0,NNE,23
2026-06-02 00:55:01,3.5,7.0,NNE,24
2026-06-03 00:05:01,4.3,7.8,E,79
2026-06-03 00:10:00,4.3,7.8,ENE,71
2026-06-03 00:15:01,6.0,8.7,E,80
2026-06-03 00:20:01,6.0,8.7,E,90
2026-06-03 00:25:01,3.5,8.7,NE,42
2026-06-03 00:30:02,4.3,9.6,NW,312
2026-06-03 00:35:01,4.3,9.6,NW,326
2026-06-03 00:40:01,6.0,14.0,NNW,347
2026-06-03 00:45:00,7.0,14.0,N,6
2026-06-03 00:50:01,4.3,9.5,NNE,21
2026-06-03 00:55:01,0.8,7.8,NE,34
