time_measured,wind_speed_measured,wind_gust_measured,wind_direction_measured,wind_direction_degree_measured
2025-09-01 00:00:01,1.8,2.5,SW,229
2025-09-01 00:05:01,2.5,3.5,SW,231
2025-09-01 00:10:01,2.5,3.5,SW,231
2025-09-01 00:15:01,2.5,3.5,SW,231
2025-09-01 00:20:00,1.8,2.5,SW,229
2025-09-01 00:25:00,1.8,2.5,SW,225
2025-09-01 00:30:01,0.8,1.8,SW,220
2025-09-01 00:35:02,0.0,1.8,SW,220
2025-09-01 00:40:02,0.0,1.7,W,266
2025-09-01 00:45:02,0.8,1.7,NW,317
2025-09-01 00:50:02,0.8,0.8,NW,325
2025-09-01 00:55:02,0.8,2.5,NW,324
2025-09-01 01:00:02,1.8,4.3,NW,325
2025-09-01 01:05:01,3.5,5.2,NNW,327
2025-09-01 01:10:01,3.5,5.2,NW,324
2025-09-01 01:15:02,2.5,3.5,NW,322
2025-09-01 01:20:01,2.5,4.3,NW,320
2025-09-01 01:25:00,2.5,4.3,NW,320
2025-09-01 01:30:00,2.5,4.3,NW,324
2025-09-01 01:35:00,1.8,3.5,NNW,327
2025-09-01 01:40:00,1.8,2.5,NNW,342
2025-09-01 01:45:00,1.8,2.5,N,3
2025-09-01 01:50:00,1.8,2.5,N,354
2025-09-01 01:55:00,2.5,3.5,NNW,343
2025-09-01 02:00:00,2.5,3.5,NNW,345
2025-09-01 02:05:00,2.5,3.5,N,350
2025-09-01 02:10:00,1.8,2.5,N,11
2025-09-01 02:15:00,1.8,2.5,NNE,33
2025-09-01 02:20:00,1.8,2.5,NNE,33
2025-09-01 02:25:00,1.8,3.5,NNE,25
2025-09-01 02:30:00,2.5,3.5,NNE,23
2025-09-01 02:35:00,2.5,3.5,NNE,22
2025-09-01 02:40:00,2.5,3.5,NNE,19
2025-09-01 02:45:00,2.5,2.5,NNE,16
2025-09-01 02:50:00,2.5,2.5,NNE,17
2025-09-01 02:55:00,1.8,2.5,NNE,22
2025-09-01 03:00:00,1.8,2.5,NNE,20
2025-09-01 03:05:01,1.8,2.5,NNE,14
2025-09-01 03:10:00,1.8,2.5,NNE,12
2025-09-01 03:15:00,1.8,2.5,N,5
2025-09-01 03:20:01,0.8,2.6,N,0
2025-09-01 03:25:00,1.8,2.6,N,5
2025-09-01 03:30:00,1.8,2.5,N,4
2025-09-01 03:35:00,1.8,2.5,N,2
2025-09-01 03:40:00,1.8,2.5,N,0
2025-09-01 03:45:00,1.8,2.5,N,1
2025-09-01 03:50:00,1.8,2.5,N,1
2025-09-01 03:55:00,1.8,2.5,NNW,348
2025-09-01 04:00:00,2.5,2.5,NNW,340
2025-09-01 04:05:01,1.8,2.5,NNW,346
2025-09-01 04:10:00,1.8,2.5,N,358
2025-09-01 04:15:00,1.8,2.5,N,2
2025-09-01 04:20:00,1.8,2.5,NNW,342
2025-09-01 04:25:00,2.5,2.5,NNW,332
2025-09-01 04:30:00,2.5,2.5,NNW,341
2025-09-01 04:35:00,2.5,3.5,NNW,346
2025-09-01 04:40:00,2.5,3.5,NNW,343
2025-09-01 04:45:01,2.5,4.3,NNW,341
2025-09-01 04:50:00,3.5,4.3,NNW,347
2025-09-01 04:55:00,3.5,4.3,N,351
2025-09-01 05:00:00,3.5,4.3,NNW,347
2025-09-01 05:05:00,2.5,4.3,NNW,345
2025-09-01 05:10:00,2.5,4.3,NNW,348
2025-09-01 05:15:00,2.5,4.3,N,350
2025-09-01 05:20:00,2.5,3.5,N,350
2025-09-01 05:25:00,2.5,3.5,N,353
2025-09-01 05:30:00,2.5,3.5,N,349
2025-09-01 05:35:00,1.8,3.5,NNW,347
2025-09-01 05:40:01,1.8,2.5,N,354
2025-09-01 05:45:00,2.5,4.3,N,9
2025-09-01 05:50:01,3.5,4.3,NNE,14
2025-09-01 05:55:00,3.5,6.1,N,8
2025-09-01 06:00:01,3.5,6.1,N,4
2025-09-01 06:05:01,2.5,4.3,N,8
2025-09-01 06:10:00,3.5,4.3,N,1
